# C1 Amp,C2 Amp
94.496,110.61
96.349,114.29
103.76,119.82
118.58,138.26
122.29,136.41
131.55,153
138.96,160.38
150.08,175.13
159.35,182.5
163.05,191.72
177.87,206.46
185.29,213.84
192.7,224.9
198.26,230.43
213.08,248.86
224.2,261.77
231.61,270.98
237.17,278.36
242.72,285.73
257.55,302.32
257.55,302.32
270.52,318.91
277.93,328.13
285.34,333.66
298.31,350.25
302.02,352.09
311.28,366.84
326.1,381.59
329.81,387.12
344.63,401.87
344.63,403.71
359.45,420.3
359.45,420.3
370.57,435.05
385.39,451.64
390.95,453.48
396.51,466.39
403.92,477.45
416.89,492.19
426.16,499.57
429.86,0.5069
442.83,0.5216
450.25,0.529
457.66,0.5364
466.92,0.5548
474.33,0.5604
479.89,0.5677
492.86,0.5825
498.42,0.5917
0.5021,0.6009
0.5151,0.6138
0.528,0.6304
0.5299,0.6304
0.5391,0.647
0.5521,0.6617
0.5503,0.6654
0.5632,0.6765
0.5725,0.6912
0.5762,0.6931
0.5873,0.7115
0.5984,0.7226
0.6133,0.7502
0.6151,0.7502
0.6318,0.7705
0.6373,0.7797
0.6448,0.7889
0.6596,0.8111
0.6651,0.8184
0.6781,0.8369
0.68,0.8442
0.6929,0.859
0.6966,0.8682
0.7133,0.8903
0.7207,0.8977
0.73,0.9125
0.7411,0.929
0.7522,0.9438
0.767,0.9696
0.7707,0.9733
0.7837,0.9936
0.7874,0.9991
0.8004,1.0157
0.8059,1.0231
0.8152,1.036
0.8226,1.0452
0.8356,1.0673
0.8449,1.0766
0.8504,1.0913
0.8615,1.1042
0.8671,1.1134
0.8727,1.1245
0.8838,1.1392
0.8949,1.1577
0.9097,1.1779
0.9171,1.189
0.9264,1.2038
0.9412,1.2259
0.9468,1.2369
0.9505,1.2425
0.969,1.2646
0.9709,1.2701
0.9838,1.2886
0.9838,1.2922
0.9986,1.3125
1.0024,1.3199
1.0135,1.3346
1.0209,1.3439
1.0283,1.3568
1.0395,1.3752
1.0506,1.3918
1.058,1.4028
1.0672,1.4158
1.0728,1.4305
1.0858,1.4452
1.0913,1.4545
1.0969,1.4618
1.108,1.4803
1.1099,1.4858
1.121,1.5024
1.1228,1.5079
1.1302,1.5153
1.1395,1.5282
1.1469,1.5393
1.1488,1.5448
1.1562,1.5614
1.1617,1.5688
1.1673,1.5761
1.1784,1.5909
1.1803,1.6112
1.1895,1.6185
1.1932,1.6259
1.2007,1.6425
1.2062,1.6572
1.2118,1.6646
1.2192,1.6794
1.2247,1.6904
1.2322,1.7052
1.2396,1.7199
1.2451,1.7384
1.2488,1.7457
1.2544,1.7531
1.2637,1.7697
1.2637,1.7752
1.2729,1.7918
1.2785,1.8047
1.2785,1.8139
1.2896,1.8287
1.2914,1.8361
1.2989,1.8526
1.3026,1.86
1.31,1.8785
1.31,1.8858
1.3174,1.9006
1.3211,1.9079
1.3248,1.9245
1.3266,1.9338
1.3285,1.9485
1.3341,1.9559
1.3359,1.9725
1.3341,1.978
1.3433,1.9946
1.3452,2.002
1.3452,2.0186
1.3489,2.0259
1.3526,2.0407
1.3526,2.0499
1.3581,2.061
1.3581,2.0757
1.36,2.0941
1.3619,2.1033
1.3656,2.1163
1.3656,2.1273
1.3674,2.1439
1.3693,2.1587
1.3711,2.1679
1.3748,2.1845
1.3767,2.1974
1.3767,2.2103
1.3785,2.225
1.3785,2.2398
1.3841,2.2453
1.3841,2.2545
1.3841,2.2619
1.3841,2.2766
1.3859,2.284
1.3859,2.2914
1.3859,2.308
1.3896,2.3172
1.3915,2.3209
1.3934,2.3356
1.3934,2.3541
1.3934,2.3522
1.3952,2.3688
1.3971,2.3725
1.3952,2.3946
1.3971,2.3983
1.3952,2.4075
1.4008,2.4259
1.3971,2.4333
1.4008,2.4407
1.4026,2.4481
1.4045,2.4647
1.4026,2.4702
1.4045,2.4868
1.4063,2.4997
1.4063,2.5181
1.4082,2.5292
1.41,2.5495
1.4082,2.5716
1.4119,2.5808
1.41,2.5955
1.4119,2.6066
1.4137,2.6214
1.4156,2.6306
1.4137,2.6545
1.4156,2.6619
1.4156,2.6785
1.4193,2.6914
1.4193,2.708
1.4193,2.7172
1.4193,2.732
1.4193,2.7393
1.4211,2.7559
1.4211,2.7707
1.4211,2.7873
1.423,2.7983
1.4211,2.8186
1.4267,2.8333
1.4248,2.8407
1.4267,2.8536
1.4286,2.8647
1.4286,2.8905
1.4286,2.896
1.4267,2.9108
1.4286,2.9255
1.4304,2.9513
1.4323,2.955
1.4323,2.9716
1.4304,2.9827
1.4323,2.9974
1.4323,3.0048
1.4323,3.0048
1.4323,3.0066
1.4323,3.0048
1.4323,3.0048
1.4341,3.0066
1.4323,3.0011
1.4323,3.0066
1.4304,3.0029
1.4323,3.0029
1.4323,3.0048
1.4304,3.0066
1.4323,3.0048
1.4286,3.0029
1.4304,3.0048
1.4341,3.0066
1.4323,3.0048
1.4341,3.0011
1.4304,3.0066
1.4341,3.0029
1.4323,3.0029
1.4323,3.0048
1.4323,3.0048
1.4341,3.0066
1.4323,3.0066
1.4323,3.0048
1.4323,3.0011
1.4323,3.0066
1.4323,3.0066
1.4323,3.0029
1.4323,3.0048
1.4323,3.0029
1.4323,3.0048
1.4341,3.0048
1.4341,3.0048
1.4323,3.0066
1.4323,3.0011
1.4341,3.0066
1.4341,2.9993
1.4341,3.0048
1.4286,3.0011
1.4304,3.0048
1.4323,3.0066
1.4323,3.0066
