#p [arb un.],#Rp [kohm],#dR,#Vout [mV],#dVout,#Vout fs [mV],#Av,#dAv
6.29591E-05,0.0006,0.000200058,403,3.287890661,90,2.025125628,0.026214959
0.040083945,0.382,0.003652278,442,3.635578817,100,2.221105528,0.028845566
0.102518363,0.977,0.008067828,483,3.763716027,100,2.427135678,0.030866508
0.162644281,1.55,0.012560255,520,4.104063027,110,2.613065327,0.033391865
0.233997901,2.23,0.026800478,560,4.45421149,120,2.814070352,0.036067651
0.330535152,3.15,0.032172038,599,4.689441154,125,3.010050251,0.038346835
0.429171039,4.09,0.038348382,642,5.161146513,140,3.226130653,0.041520162
0.541448059,5.16,0.045869798,680,5.281413952,140,3.417085427,0.043402433
0.655823715,6.25,0.053851648,721,5.6343611,150,3.623115578,0.046125587
0.818467996,7.8,0.065526788,759,5.977905848,160,3.814070352,0.048700672
1,9.53,0.078819652,790,6.299669303,170,3.969849246,0.05093124
