# C1 Amp,# C1 dx,# C2 Amp,#C2 dy,1
0.12904,0.003216948,0.34648,0.004327114,2
0.13088,0.003222964,0.35575,0.004387619,3
0.13273,0.003229086,0.35575,0.004387619,4
0.14194,0.00326066,0.37613,0.004523204,5
0.14932,0.00328725,0.39651,0.004662063,6
0.15116,0.003294055,0.39836,0.00467482,7
0.15669,0.00331492,0.4206,0.004830037,8
0.16591,0.003351062,0.44283,0.004988384,9
0.16775,0.003358474,0.44469,0.005001768,10
0.17881,0.003404382,0.46507,0.005149709,11
0.18434,0.003428189,0.49101,0.005341194,12
0.19356,0.003469107,0.51139,0.005493915,14
0.20093,0.003502885,0.53362,0.005662577,15
0.20278,0.003511509,0.53362,0.005662577,16
0.21199,0.003555295,0.55586,0.005833302,17
0.21937,0.003591376,0.57439,0.005976942,18
0.22121,0.003600506,0.57624,0.005991348,19
0.22858,0.003637603,0.60033,0.006179975,20
0.23043,0.003647045,0.59847,0.006165345,21
0.23596,0.003675574,0.62071,0.006340958,22
0.24518,0.003724134,0.64665,0.006547569,23
0.25255,0.003763815,0.66518,0.006696239,24
0.26361,0.00382475,0.68926,0.006890677,25
0.26914,0.003855819,0.70965,0.007056334,26
0.27098,0.003866244,0.7152,0.007101577,27
0.2802,0.003919117,0.73188,0.007237922,28
0.28942,0.003973019,0.75782,0.007451012,29
0.29864,0.004027909,0.7782,0.007619266,30
0.30785,0.004083687,0.79673,0.007772842,31
0.31523,0.004129039,0.82082,0.007973292,32
0.32444,0.004186426,0.84305,0.008159007,33
0.3226,0.004174893,0.8449,0.008174493,34
0.33182,0.004233021,0.86714,0.008361009,35
0.34103,0.004291901,0.88937,0.008548058,36
0.35025,0.00435163,0.90975,0.008720049,37
0.35525,0.004384337,0.91161,0.008735769,38
0.36684,0.004460975,0.95793,0.009128418,39
0.37606,0.004522733,0.98016,0.009317607,40
0.38343,0.004572582,0.99869,0.009475649,41
0.39265,0.004635525,1.0246,0.009697124,42
0.40924,0.004750333,1.0654,0.010046952,44
0.41108,0.004763185,1.0654,0.010046952,45
0.41846,0.004814957,1.0895,0.010254162,46
0.42583,0.004867014,1.1117,0.010445383,47
0.43505,0.004932621,1.1321,0.010621379,48
0.43689,0.004945776,1.1321,0.010621379,49
0.44427,0.004998744,1.1543,0.01081319,50
0.44058,0.00497222,1.1562,0.01082962,51
0.45164,0.005051957,1.1784,0.01102174,52
0.46454,0.005145832,1.1988,0.011198519,53
0.46086,0.00511896,1.1951,0.01116644,54
0.47192,0.005199941,1.2173,0.011359021,55
0.47745,0.005240672,1.2414,0.011568362,56
0.47929,0.005254258,1.2414,0.011568362,57
0.48666,0.005308849,1.2618,0.011745777,58
0.49773,0.00539134,1.2859,0.011955611,59
0.49588,0.005377514,1.2859,0.011955611,60
0.51063,0.005488186,1.3118,0.012181394,62
0.51432,0.005516025,1.3248,0.012294824,63
0.52538,0.005599817,1.3489,0.01250528,64
0.52906,0.005627812,1.3656,0.012651242,65
0.53275,0.005655937,1.3656,0.012651242,66
0.54012,0.005712276,1.3859,0.012828804,67
0.54565,0.005754689,1.3989,0.012942589,68
0.54934,0.005783055,1.4063,0.013007385,69
0.55671,0.005839864,1.4248,0.013169452,70
0.56409,0.005896948,1.4434,0.013332505,71
0.57331,0.005968537,1.4656,0.013527256,72
0.58068,0.006025971,1.4897,0.013738839,73
0.58252,0.006040339,1.4878,0.013722152,74
0.5899,0.006098077,1.5101,0.013918066,75
0.59727,0.006155912,1.5286,0.014080698,76
0.60833,0.00624302,1.5471,0.014243419,77
0.61386,0.006286712,1.5545,0.014308532,78
0.6157,0.00630127,1.5638,0.014390382,79
0.62492,0.006374365,1.5842,0.014569999,80
0.62308,0.006359758,1.586,0.014585852,81
0.63414,0.006447699,1.6046,0.014749713,82
0.64151,0.006506485,1.6213,0.014896903,83
0.65073,0.006580229,1.6435,0.015092663,84
0.66179,0.006668976,1.662,0.015255876,85
0.66916,0.006728282,1.6824,0.015435934,86
0.67654,0.006787799,1.7009,0.015599292,87
0.68575,0.006862252,1.7176,0.015746813,88
0.69313,0.006922049,1.7361,0.015910295,89
0.69682,0.006951993,1.7584,0.01610744,90
0.70235,0.006996923,1.7584,0.01610744,91
0.71894,0.0071321,1.7917,0.016401991,92
0.72631,0.007192331,1.814,0.016599346,93
0.73921,0.00729801,1.8269,0.016713547,95
0.74843,0.007373733,1.8492,0.016911026,96
0.75396,0.007419226,1.864,0.017042129,97
0.76502,0.007510373,1.8825,0.017206054,98
0.7724,0.00757131,1.9047,0.017402829,99
0.78161,0.007647486,1.9196,0.017534936,100
0.78899,0.007708627,1.9418,0.017731824,101
0.79636,0.00776977,1.9585,0.017879975,102
0.80558,0.007846381,1.977,0.018044136,103
0.81479,0.007923036,1.9955,0.01820834,104
0.82401,0.007999899,2.0104,0.018340621,105
0.83323,0.008076884,2.0289,0.018504898,106
0.8406,0.008138506,2.0456,0.018653226,107
0.84798,0.008200285,2.0641,0.018817577,108
0.85535,0.008262053,2.0826,0.018981966,109
0.86457,0.008339423,2.0993,0.019130392,111
0.87378,0.008416817,2.116,0.019278847,112
0.88116,0.008478908,2.1308,0.019410435,113
0.89222,0.008572081,2.1512,0.01959185,114
0.89959,0.008634248,2.1697,0.019756403,115
0.90881,0.008712106,2.1919,0.019953909,116
0.91987,0.008805625,2.2068,0.020086495,118
0.92356,0.008836855,2.2234,0.020234231,119
0.93462,0.008930547,2.2401,0.020382882,120
0.93277,0.008914867,2.2438,0.02041582,121
0.94199,0.008993051,2.2586,0.020547584,122
0.95305,0.009086949,2.2772,0.020713204,123
0.95858,0.009133944,2.2938,0.02086104,124
0.96042,0.009149586,2.292,0.020845009,125
0.9678,0.00921236,2.3087,0.020993755,126
0.97702,0.009290857,2.3272,0.02115856,127
0.98623,0.009369345,2.3439,0.021307352,128
0.99176,0.009416508,2.3661,0.02150518,129
1.0047,0.009526972,2.3809,0.021637086,130
1.0139,0.009605595,2.3995,0.021802881,132
1.0213,0.009668886,2.418,0.021967809,133
1.036,0.009794742,2.4402,0.022165754,134
1.0378,0.009810165,2.4513,0.022264739,135
1.0471,0.009889888,2.4625,0.022364624,136
1.0544,0.009952513,2.4847,0.022562634,137
1.0637,0.010032351,2.5032,0.022727667,138
1.0729,0.010111393,2.518,0.022859708,139
1.0821,0.010190494,2.5366,0.023025671,140
1.0802,0.010174153,2.5347,0.023008716,141
1.0968,0.010317005,2.5681,0.023306783,142
1.0987,0.010333367,2.5718,0.023339807,143
1.1097,0.010428143,2.5884,0.023487975,144
1.1134,0.010460039,2.6033,0.023620983,145
1.1208,0.010523859,2.6218,0.023786144,146
1.1319,0.010619652,2.6366,0.023918286,147
1.1411,0.010699105,2.6589,0.024117415,148
1.1374,0.010667145,2.657,0.024100447,149
1.1485,0.010763049,2.6737,0.024249586,150
1.1595,0.010858161,2.6922,0.024414815,151
1.1669,0.010922184,2.7089,0.024563983,152
1.1687,0.010937762,2.7107,0.024580062,153
1.1743,0.010986238,2.7274,0.024729245,154
1.1853,0.011081508,2.7459,0.024894524,156
1.1927,0.011145636,2.7608,0.025027652,157
1.2001,0.011209792,2.7811,0.025209044,158
1.2038,0.011241881,2.7793,0.025192959,159
1.213,0.0113217,2.796,0.025342196,160
1.2167,0.011353813,2.8145,0.025507533,161
1.2277,0.011449324,2.8201,0.025557584,162
1.2333,0.011497971,2.8423,0.025756013,163
1.248,0.01162574,2.8682,0.025987541,164
1.2554,0.011690097,2.8812,0.026103762,165
1.2627,0.011753609,2.8979,0.026253072,166
1.2572,0.011705755,2.8997,0.026269166,167
1.2793,0.011898121,2.9368,0.026600909,168
1.3051,0.01212296,2.9831,0.027014991,170
1.3107,0.012171799,3.0016,0.027180467,171
1.3162,0.012219778,3.0016,0.027180467,172
1.3236,0.012284351,3.0202,0.027346851,173
1.3328,0.01236466,3.035,0.027479251,174
1.3402,0.012429281,3.0517,0.027628657,175
1.3475,0.012493048,3.072,0.027810284,176
1.3568,0.012574315,3.0906,0.027976713,177
1.3623,0.012622391,3.1054,0.028109149,178
1.3752,0.012735194,3.1239,0.028274703,179
1.3807,0.012783307,3.1406,0.028424159,180
1.3826,0.01279993,3.1369,0.028391046,181
1.3918,0.012880438,3.1573,0.028573624,182
1.3992,0.012945216,3.1758,0.028739209,184
1.4065,0.013009136,3.1888,0.028855573,186
1.4158,0.013090594,3.2092,0.029038184,187
1.425,0.013171204,3.2258,0.029186789,188
1.4305,0.013219408,3.224,0.029170675,189
1.4342,0.013251841,3.2425,0.029336297,190
1.4452,0.01334829,3.261,0.029501929,191
1.4545,0.013429862,3.2777,0.029651454,192
1.4526,0.013413195,3.274,0.029618325,193
1.4581,0.013461445,3.2925,0.029783973,194
1.4674,0.013543053,3.3129,0.029966645,196
1.4784,0.013639611,3.3277,0.030099179,197
1.4895,0.013737082,3.3444,0.030248734,198
1.4969,0.013802082,3.3611,0.030398297,199
1.5042,0.013866219,3.3759,0.030530849,200
1.5135,0.013947948,3.3944,0.030696548,201
1.5208,0.014012118,3.4056,0.030796867,202
1.5264,0.014061353,3.4222,0.03094556,203
1.5374,0.01415809,3.4333,0.031044991,204
1.5466,0.01423902,3.4463,0.031161445,205
1.5522,0.014288293,3.4593,0.031277904,206
1.5632,0.014385101,3.4704,0.031377345,207
1.5688,0.014434397,3.476,0.031427514,208
1.5872,0.014596421,3.5056,0.031692708,209
1.5946,0.014661606,3.5075,0.031709731,210
1.6056,0.014758525,3.5241,0.031858464,211
1.6148,0.014839606,3.5371,0.031974946,212
1.6333,0.015002706,3.5556,0.032140716,213
1.6314,0.014985952,3.5575,0.032157741,214
1.648,0.015132357,3.576,0.032323519,215
1.6591,0.015230287,3.5853,0.032406858,216
1.6646,0.01527882,3.5945,0.032489304,217
1.6775,0.015392677,3.6075,0.032605806,218
1.6849,0.015458005,3.6149,0.032672124,219
1.6923,0.015523344,3.6242,0.032755471,220
1.707,0.015653171,3.6427,0.032921275,221
1.7089,0.015669955,3.6427,0.032921275,222
1.7291,0.01584843,3.6631,0.033104115,223
1.7476,0.016011951,3.6798,0.033253799,225
1.7457,0.015995154,3.6798,0.033253799,226
1.7531,0.016060577,3.6909,0.033353293,227
1.7623,0.016141927,3.6946,0.033386458,228
1.7697,0.016207371,3.7094,0.033519122,229
1.7734,0.016240097,3.7076,0.033502987,230
1.7789,0.016288748,3.7168,0.033585455,231
1.79,0.016386949,3.728,0.033685853,232
1.7955,0.016435615,3.7317,0.033719021,233
1.8066,0.016533847,3.7446,0.033834662,234
1.8102,0.01656571,3.7539,0.033918033,235
1.8195,0.016648033,3.7632,0.034001406,236
1.8305,0.016745422,3.7743,0.034100918,237
1.8416,0.016843715,3.7817,0.03416726,238
1.8453,0.016876484,3.7947,0.03428381,239
1.8471,0.016892426,3.7891,0.034233603,240
1.8545,0.016957971,3.7984,0.034316982,241
1.8619,0.017023525,3.8076,0.034399466,242
1.8729,0.017120984,3.8169,0.034482848,243
1.8821,0.01720251,3.828,0.03458237,244
1.8914,0.017284933,3.8336,0.03463258,245
1.8987,0.01734964,3.8447,0.034732106,246
1.9079,0.017431198,3.8558,0.034831633,247
1.9135,0.017480848,3.8614,0.034881846,248
1.9245,0.017578388,3.8725,0.034981377,249
1.9356,0.01767683,3.8799,0.035047732,250
1.9393,0.017709648,3.8873,0.035114088,251
1.9467,0.017775289,3.8947,0.035180445,252
1.9614,0.017905705,3.8966,0.035197483,254
1.9688,0.017971367,3.8966,0.035197483,255
1.9798,0.018068986,3.8966,0.035197483,256
1.978,0.018053011,3.8966,0.035197483,257
1.9854,0.018118688,3.8966,0.035197483,258
1.9946,0.018200351,3.8984,0.035213624,259
2.0001,0.018249175,3.8947,0.035180445,260
2.0038,0.018282023,3.8947,0.035180445,261
2.013,0.018363706,3.8984,0.035213624,262
2.0186,0.01841343,3.8966,0.035197483,263
2.0351,0.018559962,3.8984,0.035213624,265
2.0462,0.018658555,3.8984,0.035213624,267
2.0444,0.018642566,3.8984,0.035213624,268
2.0536,0.018724292,3.8984,0.035213624,269
2.0628,0.018806027,3.8984,0.035213624,270
2.0702,0.018871777,3.8984,0.035213624,271
2.0683,0.018854895,3.8966,0.035197483,272
2.0812,0.018969525,3.9003,0.035230662,273
2.0794,0.018953529,3.9003,0.035230662,274
2.0923,0.019068174,3.9003,0.035230662,275
2.0978,0.019117059,3.8984,0.035213624,276
2.1033,0.019165947,3.8984,0.035213624,277
2.1089,0.019215728,3.8984,0.035213624,278
2.1126,0.01924862,3.9003,0.035230662,279
2.1199,0.01931352,3.8984,0.035213624,280
2.1347,0.019445114,3.8984,0.035213624,281
2.1384,0.019478016,3.9003,0.035230662,282
2.1513,0.019592739,3.8966,0.035197483,283
2.155,0.019625647,3.9003,0.035230662,284
2.1642,0.019707478,3.8984,0.035213624,285
2.166,0.019723489,3.8984,0.035213624,286
2.1734,0.019789317,3.8984,0.035213624,287
2.1826,0.019871164,3.9003,0.035230662,288
2.1937,0.019969925,3.9003,0.035230662,290
2.2029,0.020051789,3.9021,0.035246803,291
2.2047,0.020067807,3.8984,0.035213624,292
2.2103,0.020117642,3.9003,0.035230662,293
2.2176,0.02018261,3.8984,0.035213624,295
2.2232,0.020232451,3.8966,0.035197483,296
2.2342,0.020330362,3.9003,0.035230662,297
2.2434,0.020412259,3.8966,0.035197483,298
2.249,0.020462113,3.9003,0.035230662,300
2.2637,0.020592993,3.8984,0.035213624,301
2.2545,0.02051108,3.8984,0.035213624,302
2.2711,0.020658885,3.9003,0.035230662,303
2.2766,0.020707861,3.8984,0.035213624,304
2.284,0.020773761,3.8984,0.035213624,305
2.2951,0.020872619,3.8984,0.035213624,307
2.2932,0.020855696,3.9003,0.035230662,308
2.3024,0.020937639,3.9003,0.035230662,309
2.3117,0.021020478,3.8984,0.035213624,310
2.3209,0.021102434,3.8984,0.035213624,311
2.3172,0.021069473,3.8984,0.035213624,312
2.3282,0.021167469,3.8984,0.035213624,313
2.3301,0.021184396,3.9003,0.035230662,314
2.3375,0.021250327,3.9003,0.035230662,315
2.3448,0.021315371,3.8984,0.035213624,316
2.3467,0.021332301,3.8984,0.035213624,317
2.3559,0.021414281,3.8984,0.035213624,318
2.3633,0.021480227,3.8984,0.035213624,319
2.3651,0.021496268,3.8984,0.035213624,320
2.3725,0.021562218,3.8966,0.035197483,321
2.3743,0.021578261,3.8984,0.035213624,322
2.3817,0.021644216,3.8966,0.035197483,323
2.3909,0.02172622,3.8984,0.035213624,324
2.3946,0.021759201,3.8966,0.035197483,325
2.3983,0.021792184,3.8984,0.035213624,326
2.4057,0.021858152,3.8966,0.035197483,327
2.4075,0.021874198,3.9003,0.035230662,328
2.4149,0.021940171,3.8984,0.035213624,329
2.4241,0.022022196,3.8984,0.035213624,330
2.4259,0.022038245,3.8984,0.035213624,331
2.4315,0.022088177,3.9003,0.035230662,332
2.4389,0.022154162,3.8984,0.035213624,333
2.4499,0.022252254,3.8984,0.035213624,334
2.4573,0.022318248,3.8984,0.035213624,336
2.4665,0.022400299,3.8984,0.035213624,337
2.472,0.022449354,3.8984,0.035213624,338
2.4813,0.022532306,3.9003,0.035230662,339
2.4942,0.022647378,3.8966,0.035197483,340
2.5089,0.022778519,3.9003,0.035230662,341
2.5163,0.02284454,3.8984,0.035213624,342
2.5273,0.022942687,3.8966,0.035197483,343
2.5366,0.023025671,3.8984,0.035213624,344
2.5439,0.023090812,3.8984,0.035213624,345
2.5513,0.023156849,3.8984,0.035213624,346
2.555,0.023189869,3.8984,0.035213624,347
2.5697,0.023321064,3.8984,0.035213624,348
2.579,0.023404071,3.8966,0.035197483,350
2.5845,0.023453163,3.8984,0.035213624,351
2.5919,0.023519218,3.8984,0.035213624,352
2.6029,0.023617412,3.8966,0.035197483,353
2.614,0.023716506,3.8966,0.035197483,354
2.6214,0.023782573,3.8966,0.035197483,355
2.6306,0.023864714,3.8966,0.035197483,356
2.6361,0.023913822,3.8984,0.035213624,357
2.6508,0.024045082,3.8966,0.035197483,358
2.6564,0.024095089,3.8984,0.035213624,359
2.6674,0.024193322,3.8966,0.035197483,360
2.673,0.024243334,3.8966,0.035197483,362
2.6822,0.0243255,3.8966,0.035197483,363
2.6896,0.024391593,3.8984,0.035213624,364
2.6988,0.024473766,3.8984,0.035213624,365
2.7061,0.024538972,3.8966,0.035197483,366
2.7172,0.024638126,3.8966,0.035197483,367
2.7264,0.024720312,3.8984,0.035213624,368
2.732,0.02477034,3.8966,0.035197483,369
2.743,0.024868614,3.8966,0.035197483,370
2.7504,0.024934729,3.8966,0.035197483,371
2.7559,0.02498387,3.8966,0.035197483,372
2.767,0.02508305,3.8966,0.035197483,373
2.7744,0.025149173,3.8966,0.035197483,374
2.7854,0.025247469,3.8984,0.035213624,375
2.7909,0.025296619,3.8966,0.035197483,376
2.8094,0.025461952,3.8984,0.035213624,377
2.8297,0.025643388,3.8947,0.035180445,379
2.8407,0.025741711,3.8966,0.035197483,380
2.8444,0.025774785,3.8947,0.035180445,381
2.8536,0.025857024,3.8966,0.035197483,382
2.861,0.025923175,3.8966,0.035197483,383
2.8702,0.02600542,3.8966,0.035197483,384
2.8776,0.026071577,3.8966,0.035197483,385
2.8886,0.026169922,3.8966,0.035197483,386
2.8979,0.026253072,3.8966,0.035197483,387
2.9071,0.026335331,3.8966,0.035197483,388
2.9145,0.026401499,3.8966,0.035197483,390
2.9218,0.026466774,3.8966,0.035197483,391
2.9237,0.026483764,3.8966,0.035197483,392
2.9329,0.026566033,3.8966,0.035197483,393
2.9403,0.026632208,3.8966,0.035197483,395
2.9569,0.026780662,3.8966,0.035197483,396
2.9532,0.026747572,3.8947,0.035180445,397
2.9661,0.026862943,3.8947,0.035180445,398
2.9753,0.026945226,3.8966,0.035197483,399
2.9808,0.026994419,3.8966,0.035197483,400
2.9919,0.027093702,3.8947,0.035180445,401
2.9974,0.027142899,3.8966,0.035197483,402
3.0085,0.027242189,3.8947,0.035180445,404
3.0158,0.02730749,3.8947,0.035180445,405
3.0251,0.027390685,3.8966,0.035197483,406
3.0269,0.027406788,3.8966,0.035197483,407
3.0417,0.027539191,3.8947,0.035180445,408
3.049,0.027604501,3.8947,0.035180445,409
3.0619,0.027719916,3.8947,0.035180445,410
3.073,0.027819232,3.8966,0.035197483,412
3.0804,0.027885444,3.8966,0.035197483,413
3.0841,0.027918551,3.8966,0.035197483,414
3.0951,0.02801698,3.8947,0.035180445,415
3.1062,0.028116308,3.8947,0.035180445,416
3.1025,0.028083198,3.8966,0.035197483,417
3.1117,0.028165526,3.8947,0.035180445,418
3.132,0.028347193,3.8947,0.035180445,419
3.1283,0.02831408,3.8966,0.035197483,420
3.1394,0.02841342,3.8947,0.035180445,421
3.1449,0.028462644,3.8947,0.035180445,422
3.1523,0.028528873,3.8966,0.035197483,423
3.1652,0.028644332,3.8966,0.035197483,424
3.1688,0.028676554,3.8966,0.035197483,425
3.1799,0.028775908,3.8966,0.035197483,426
3.1965,0.028924498,3.8947,0.035180445,427
3.1983,0.028940611,3.8947,0.035180445,428
3.2057,0.029006853,3.8947,0.035180445,429
3.2094,0.029039974,3.8947,0.035180445,430
3.2149,0.02908921,3.8966,0.035197483,431
3.2242,0.029172465,3.8966,0.035197483,432
3.2315,0.029237818,3.8947,0.035180445,433
3.2407,0.029320182,3.8947,0.035180445,434
3.25,0.029403444,3.8966,0.035197483,435
3.261,0.029501929,3.8966,0.035197483,436
3.2666,0.029552068,3.8947,0.035180445,437
3.2813,0.029683688,3.8966,0.035197483,438
3.2942,0.029799195,3.8947,0.035180445,439
3.3016,0.029865458,3.8966,0.035197483,440
